date,close,kdjk,kdjd,kdjj,signal,signal_2
2000-10-25,17.75,66.5471,50.3513,98.9386,0.0,0.0
2000-10-26,17.38,64.0749,54.9258,82.3729,0.0,0.0
2000-10-27,17.47,65.0354,58.2957,78.5149,0.0,0.0
2000-10-30,17.54,67.7048,61.432,80.2502,0.0,0.0
2000-10-31,17.55,69.7742,64.2128,80.8971,0.0,0.0
2000-11-01,17.7,75.2198,67.8818,89.8959,0.0,0.0
2000-11-02,17.87,77.5438,71.1025,90.4265,0.0,0.0
2000-11-03,17.7,71.3306,71.1785,71.6347,0.0,0.0
2000-11-06,15.52,49.0922,63.8164,19.6438,-1.0,0.0
2000-11-07,15.23,33.4348,53.6892,-7.0739,0.0,0.0
2000-11-08,15.46,25.7057,44.3614,-11.6057,0.0,0.0
2000-11-09,15.49,20.9063,36.543,-10.3672,0.0,0.0
2000-11-10,15.54,18.2956,30.4605,-6.0343,0.0,0.0
2000-11-13,15.67,18.0863,26.3358,1.5874,0.0,0.0
2000-11-14,15.76,19.0069,23.8928,9.2351,0.0,0.0
2000-11-15,15.98,22.2798,23.3552,20.1291,0.0,0.0
2000-11-16,15.97,40.997,29.2358,64.5195,1.0,0.0
2000-11-17,15.71,44.9784,34.4833,65.9686,0.0,0.0
2000-11-20,15.64,44.2217,37.7294,57.2062,0.0,0.0
2000-11-21,15.64,39.6077,38.3555,42.1121,0.0,0.0
2000-11-22,15.79,42.8608,39.8573,48.8679,0.0,0.0
2000-11-23,15.88,46.9314,42.2153,56.3635,0.0,0.0
2000-11-24,15.83,43.8366,42.7558,45.9983,0.0,0.0
2000-11-27,15.63,33.9303,39.8139,22.163,-1.0,0.0
2000-11-28,15.67,28.8947,36.1742,14.3357,0.0,0.0
2000-11-29,15.52,20.7783,31.0422,0.2504,0.0,0.0
2000-11-30,15.49,14.9633,25.6826,-6.4753,0.0,0.0
2000-12-01,15.49,11.7871,21.0508,-6.7401,0.0,0.0
2000-12-04,15.49,10.9831,17.6949,-2.4405,0.0,0.0
2000-12-05,15.51,11.1415,15.5104,2.4037,0.0,0.0
2000-12-06,15.38,8.4178,13.1462,-1.0391,0.0,0.0
2000-12-07,15.3,8.6421,11.6448,2.6367,0.0,0.0
2000-12-08,15.18,9.864,11.0512,7.4895,0.0,0.0
2000-12-11,14.79,8.0097,10.0374,3.9543,0.0,0.0
2000-12-12,14.99,16.6731,12.2493,25.5208,1.0,1.0
2000-12-13,14.84,17.5127,14.0038,24.5306,0.0,0.0
2000-12-14,14.96,22.1129,16.7068,32.925,0.0,0.0
2000-12-15,15.26,35.2806,22.8981,60.0457,0.0,0.0
2000-12-18,15.27,45.7426,30.5129,76.2021,0.0,0.0
2000-12-19,14.95,43.8284,34.9514,61.5824,0.0,0.0
2000-12-20,14.86,39.0781,36.327,44.5803,0.0,0.0
2000-12-21,14.82,34.0333,35.5624,30.975,-1.0,0.0
2000-12-22,14.65,24.8818,32.0022,10.6411,0.0,0.0
2000-12-25,14.39,17.908,27.3042,-0.8842,0.0,0.0
2000-12-26,14.4,15.0833,23.2306,-1.2111,0.0,0.0
2000-12-27,14.38,12.5713,19.6775,-1.6411,0.0,0.0
2000-12-28,14.36,10.2856,16.5468,-2.2368,0.0,0.0
2000-12-29,14.52,14.1904,15.7614,11.0485,0.0,0.0
2001-01-02,14.55,21.365,17.6293,28.8366,1.0,0.0
2001-01-03,14.44,21.0066,18.7551,25.5098,0.0,0.0
2001-01-04,14.35,17.0347,18.1816,14.741,-1.0,0.0
2001-01-05,14.2,15.9542,17.4391,12.9843,0.0,0.0
2001-01-08,14.0,11.5621,15.4801,3.7259,0.0,0.0
2001-01-09,14.55,35.159,22.0397,61.3976,1.0,0.0
2001-01-10,14.42,45.7923,29.9573,77.4623,0.0,0.0
2001-01-11,14.79,53.7381,37.8842,85.4458,0.0,0.0
2001-01-12,14.8,59.2822,45.0169,87.8128,0.0,0.0
2001-01-15,14.19,47.9165,45.9834,51.7827,0.0,0.0
2001-01-16,14.48,47.4999,46.4889,49.5219,0.0,0.0
2001-01-17,14.68,52.1604,48.3794,59.7225,0.0,0.0
2001-01-18,14.9,60.6995,52.4861,77.1264,0.0,0.0
2001-01-19,14.98,68.3676,57.7799,89.5429,0.0,0.0
2001-02-05,14.59,60.2573,58.6057,63.5604,0.0,0.0
2001-02-06,14.68,57.6027,58.2714,56.2654,-1.0,0.0
2001-02-07,14.54,52.8799,56.4742,45.6913,0.0,0.0
2001-02-08,14.13,39.1927,50.7137,16.1506,0.0,0.0
2001-02-09,14.39,37.9466,46.458,20.9239,0.0,0.0
2001-02-12,14.39,37.1159,43.344,24.6598,0.0,0.0
2001-02-13,14.3,33.8349,40.1743,21.156,0.0,0.0
2001-02-14,14.21,28.9202,36.4229,13.9148,0.0,0.0
2001-02-15,14.15,23.8256,32.2238,7.0292,0.0,0.0
2001-02-16,14.19,23.8004,29.416,12.5692,0.0,0.0
2001-02-19,14.49,36.2836,31.7052,45.4404,1.0,0.0
2001-02-20,14.27,39.1891,34.1998,49.1675,0.0,0.0
2001-02-21,14.0,28.8583,32.4193,21.7362,-1.0,0.0
2001-02-22,13.86,20.1648,28.3345,3.8254,0.0,0.0
2001-02-23,14.12,27.4783,28.0491,26.3367,0.0,0.0
2001-02-26,14.21,36.3013,30.7998,47.3043,1.0,0.0
2001-02-27,14.1,37.3588,32.9861,46.104,0.0,0.0
2001-02-28,14.09,37.6251,34.5325,43.8105,0.0,0.0
2001-03-01,14.3,47.0133,38.6927,63.6543,0.0,0.0
2001-03-02,15.05,59.4953,45.6269,87.2321,0.0,0.0
2001-03-05,15.05,65.5435,52.2658,92.0988,0.0,0.0
2001-03-06,15.1,70.6108,58.3808,95.0707,0.0,0.0
2001-03-07,15.43,78.1215,64.961,104.4424,0.0,0.0
